text,positive
"Zuckergehalt",1
"Gehören in jeden veganen Haushalt!",1
"Schon ein Klassiker...",1
"Super!",1
"Super!",1
"Gut",1
"einfach eine Geschmacksexplosion",1
"Sehr lecker!",1
"Die besten Schnitzel ever!",1
"Topp!",1
"Sehr gut",1
"Geschmack und Konsistenz perfekt",1
"Sehr sehr gut!",1
"Super lecker",1
"Mag ich sehr gern",1
"Super!",1
"Weniger Zucker bitte!",1
"Super lecker!",1
"Köstlich",1
"Sehr gut!",1
"Lecker!",1
"Warm top, kalt leider nicht so der Knaller",1
"Sehr lecker in diversen Variationen!",1
"Perfekt für eine Tuna Tomatensauce",1
"Hammer",1
"okay",1
"Perfekt für Pizza",1
"Toll!",1
"Einziger Kritikpunkt ist das Palmöl",1
"Hammer! :)",1
"Nennt sich Margarine...",1
"ALSAN ""leecker"" BIO",1
"Alternative zu Butter",1
"Eigentlich eher Butter als Margarine, sehr lecker.",1
"leckere vegane Butter",1
"Alsan",1
"Sehr gut als Topping für Obstkuchen, auf heisser Schokolade oder Kaffee, zu Waffeln",1
"tolles Produkt",1
"Mein Highlight",1
"Die Besten",1
"Hammer geil!",1
"EXTREMST LECKER",1
"Ganz gut!",1
"super fluffig",1
"Wenns schnell gehen soll...",1
"Sehr lecker!",1
"okay",1
"Lecker!",1
"Würde ich wieder kaufen...",1
"Synthetisches Vitamin B12 mit Cyanid",1
"Schmilzt himmlisch",1
"super cheddar",1
"Super lecker",1
"Schmeckt wie Käse =O",1
"perfekt",1
"Einfach Klasse!",1
"Lichtblick",1
"Bester Käse-Ersatz!",1
"Lecker und erschwinglich",1
"Eine neue Welt",1
"So gut!",1
"Simply Lecker!!",1
"Begeistert",1
"Super für Raclette, bildet ne Kruste und ist darunter cremig",1
"Nicht einfrieren",1
"Liebeeee ♡",1
"Genial!",1
"Der beste Käse!",1
"Geil, geil, geil!!",1
"Soo lecker!",1
"Gut und günstig",1
"Einfach genial!",1
"Dezent rustikal",1
"echt lecker",1
"Favorit!",1
"Super leckere Wurstalternative",1
"Ich habe meine vegane Wurst gefunden!",1
"Die beste Wurstalternative für's Brot!",1
"Sehr gut mit viel Protein",1
